Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
БинбанкБ03;7731025412;4B020302562B;07.11.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRZ74;RU000A0JRZ74;1000;RUR;16.07.2025;0;21.11.2013;16.07.2025;16.07.2013;1000,9000000000001;993,6;1002,3000000000001;18016200000;17,42;174150128;0;0;0;0;07.09.2016;08.09.2016;EQOB;18000000;18000000;18000000000;0;1002,3000000000001;131;993,1;19.01.2017
АльфаБанк2;7728168971;40201326B;15.12.2010;об;ОАО Московская Биржа;7703507076;RU000A0JRZB4;RU000A0JRZB4;1000;RUR;02.12.2016;0;23.01.2012;02.12.2016;;995,3;0;999,8000000000001;4976500000;21,7;0;999;1000;999,8000000000001;8,42;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1000;999,8000000000001;86;993,1999999999999;07.06.2013
ФСК ЕЭС-18;4716016979;4-18-65018-D;07.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JRZK5;RU000A0JRZK5;1000;RUR;27.11.2023;0;27.12.2011;27.11.2023;23.12.2011;0;0;968,4000000000001;0;21,66;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;968,4000000000001;0;961;07.06.2019
СвердлОб1;6661004608;RU34001SVS0;06.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS009;RU000A0JS009;200;RUR;11.12.2016;0;26.03.2012;;13.12.2011;199,76;0;199,8;599280000;4,28;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;600000000;0;199,8;93;0;
КОМИ 10 об;1101481969;RU32010KOM0;24.11.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS0N1;RU000A0JS0N1;300;RUR;15.12.2016;0;10.05.2012;;15.12.2011;299,4;0;299,4;628740000;6,21;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2100000;1154800;630000000;0;299,4;99;298,04999999999995;
АИЖ11-1А1;7725699639;4-01-74103-H;01.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1A6;RU000A0JS1A6;295,98;RUR;15.02.2044;0;21.12.2011;21.12.2011;;0;0;0;0;1,68;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2258000;2258000;668322840;0;0;0;0;
АИЖ11-1А2;7725699639;4-02-74103-H;01.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1B4;RU000A0JS1B4;295,98;RUR;15.02.2044;0;21.12.2011;21.12.2011;;0;0;295,98;0;0,56;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1129000;1129000;334161420;0;295,98;0;177,676794;
ВологодОб2;3525115247;RU34002VLG0;12.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1E8;RU000A0JS1E8;200;RUR;14.12.2016;0;21.12.2011;;21.12.2011;200,48;0;201,76;503204800;4,9;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2510000;2510000;502000000;0;201,76;96;0;
СвязьБанк3;7710301140;40301470B;05.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1F5;RU000A0JS1F5;1000;RUR;09.12.2021;0;22.12.2011;22.12.2011;30.01.2012;1002;0;1000;5010000000;26,15;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;99;990;19.12.2016
Приам 01;7704757470;4-01-73835-H;29.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1J7;RU000A0JS1J7;1000;RUR;03.12.2026;0;24.04.2012;03.12.2026;10.04.2012;0;0;985;0;76,23;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;290000;290000;290000000;0;985;0;600,1;21.12.2016
Веста 01;7704757505;4-01-73834-H;29.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1S8;RU000A0JS1S8;1000;RUR;04.12.2026;0;24.04.2012;04.12.2026;10.04.2012;0;0;994;0;90,41;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;275000;275000;275000000;0;994;0;602;22.12.2016
ТГК-1 03;7841312071;4-03-03388-D;08.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS1W0;RU000A0JS1W0;1000;RUR;14.12.2021;0;27.12.2011;27.12.2011;24.01.2012;0;0;1000;0;30,77;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;1000;0;982,5;
ИАВ 1;7743823014;4-01-76791-H;01.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS215;RU000A0JS215;21,57;RUR;10.08.2044;0;26.01.2012;10.08.2044;12.01.2012;21,520388999999998;0;21,52686;63090269,932238996;0,15;0;21,52686;21,52686;21,52686;10,51;07.09.2016;08.09.2016;EQOB;2931651;2931651;63235712,07;21,52686;21,52686;64;13,228881;
Казань08;1655065554;RU34008KZN1;16.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS249;RU000A0JS249;500;RUR;21.12.2016;0;28.12.2011;;28.12.2011;0;0;500;0;8,44;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;101000;1000000000;0;500;0;487;
ОткрХОЛ 2;7708730590;4-02-14406-A;08.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS264;RU000A0JS264;1000;RUR;10.12.2026;0;15.06.2012;10.12.2026;14.02.2012;1000,1999999999999;999,8000000000001;1000;5001000000;24,47;3024372,5;1000;1000;1000;12,04;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1000;1000;278;980;27.06.2017
Заречная 1;4212017500;4-01-36405-R;08.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS298;RU000A0JS298;1000;RUR;21.12.2018;0;22.02.2012;21.12.2018;02.02.2012;0;0;890,1999999999999;0;0;0;0;0;0;0;07.09.2016;08.09.2016;EQDB;3000000;3000000;3000000000;0;890,1999999999999;0;0,2;
Аэроэксп-1;5047066172;4-01-36406-R;13.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS2Q0;RU000A0JS2Q0;1000;RUR;13.01.2017;0;14.03.2012;13.01.2017;28.02.2017;0;0;1000,6999999999999;0;16,27;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3500000;3053000;3500000000;0;1000,6999999999999;0;0;
РТК 03;7710578825;4-03-55811-H;28.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS2T4;RU000A0JS2T4;1000;RUR;04.01.2027;0;20.06.2012;04.01.2027;27.03.2012;0;0;999;0;70,22;0;0;0;0;0;07.09.2016;08.09.2016;EQDB;5000000;5000000;5000000000;0;999;0;0,1;20.01.2017
ВЭБлизинг6;7709413138;4-06-43801-H;23.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS389;RU000A0JS389;200;RUR;31.01.2017;0;07.03.2012;31.01.2017;;197,7;197,68;197,7;1977000000;1,78;1199542,44;197,68;197,7;197,7;12,33;07.09.2016;08.09.2016;EQOB;10000000;10000000;2000000000;197,7;197,7;146;197,6;
СПбТел 05;7815020097;4-05-00740-D;19.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS3L9;RU000A0JS3L9;1000;RUR;31.01.2022;0;04.04.2012;31.01.2022;27.03.2012;0;0;999,9;0;8,79;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;0;999,9;0;600,6;
СПбТел 04;7815020097;4-04-00740-D;19.05.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS3M7;RU000A0JS3M7;1000;RUR;31.01.2022;0;04.04.2012;31.01.2022;27.03.2012;0;0;999,9;0;8,79;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;999,9;0;600,6;
ОИЖК-02;5610048933;4-02-01760-E;28.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS3Q8;RU000A0JS3Q8;700;RUR;07.02.2017;0;17.04.2012;07.02.2017;03.04.2012;0;0;706,16;0;6,12;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1500000;1370000;1050000000;0;706,16;0;679,6999999999999;03.04.2012
Башнефть04;0274051582;4-04-00013-A;29.09.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS3U0;RU000A0JS3U0;1000;RUR;04.02.2022;0;01.10.2013;04.02.2022;22.03.2012;998,1999999999999;998,1999999999999;1006,4;9982000000;6,77;2874933,2;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1006,4;156;999;16.02.2017
ТГК-1 04;7841312071;4-04-03388-D;08.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS470;RU000A0JS470;1000;RUR;14.02.2022;0;27.05.2014;14.02.2022;23.03.2012;0;0;1000;0;6,31;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;1000;0;974,5;
АИЖК 21об;7729355614;4-21-00739-A;28.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS488;RU000A0JS488;450;RUR;15.02.2020;0;15.06.2012;15.02.2020;19.04.2012;441,585;0;443,25;6623775000;2,5;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;6750000000;0;443,25;680;437,40000000000003;
ЗСД 03;7825392577;4-03-00350-D;21.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS4J1;RU000A0JS4J1;1000;RUR;06.02.2032;0;21.03.2012;06.02.2032;15.03.2012;0;0;999;0;3,01;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;999;0;952,5;28.02.2017
ЗСД 04;7825392577;4-04-00350-D;21.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS4K9;RU000A0JS4K9;1000;RUR;06.02.2032;0;21.03.2012;06.02.2032;15.03.2012;999,9;0;1000;4999500000;3,01;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;170;600,1;28.02.2017
ЗСД 05;7825392577;4-05-00350-D;21.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS4L7;RU000A0JS4L7;1000;RUR;06.02.2032;0;21.03.2012;06.02.2032;15.03.2012;0;0;936,1;0;3,01;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;936,1;0;887,6999999999999;28.02.2017
ВЭБ 21;7750004150;4-26-00004-T;26.01.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS4Z7;RU000A0JS4Z7;1000;RUR;17.02.2032;0;09.04.2012;17.02.2032;29.03.2012;1001,2;1001,2;1000,1999999999999;15018000000;0,27;45808932;1000,1999999999999;1000,1999999999999;1000,1999999999999;10,24;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;1000,1999999999999;1000,1999999999999;827;1000,1999999999999;08.09.2016
УралСиб 04;0274062111;40300030B;10.02.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS561;RU000A0JS561;1000;RUR;10.03.2017;0;07.02.2013;10.03.2017;19.03.2012;0;0;999,9;0;59,18;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;999,9;0;991;15.09.2016
МирСтрТех1;7730547649;4-01-36407-R;28.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS587;RU000A0JS587;1000;RUR;25.06.2019;0;21.05.2012;25.06.2019;24.04.2012;0;0;0,6;0;15,61;0;0,5;0,6;0,6;0;07.09.2016;08.09.2016;EQDB;1000000;1000000;1000000000;0,6;0,6;36;0,6;
МЕТАЛИНВ 5;7705392230;4-05-25642-H;09.02.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS5A7;RU000A0JS5A7;1000;RUR;07.03.2022;0;28.02.2013;07.03.2022;12.04.2012;0;0;920,6;0;0,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;920,6;0;602,5;
МЕТАЛИНВ 1;7705392230;4-01-25642-H;09.02.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS5B5;RU000A0JS5B5;1000;RUR;07.03.2022;0;28.02.2013;07.03.2022;12.04.2012;0;0;1000;0;0,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;602;
ВымпелКом1;7713076301;4-01-00027-A;23.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS5E9;RU000A0JS5E9;1000;RUR;08.03.2022;0;02.10.2012;08.03.2022;24.04.2012;1019;0;1005,3;10190000000;48,22;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1005,3;180;997,5;17.03.2017
ВымпелКом4;7713076301;4-04-00027-A;23.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS5F6;RU000A0JS5F6;1000;RUR;08.03.2022;0;02.10.2012;08.03.2022;24.04.2012;1000,3;1000,3;999,5;15004500000;48,22;52151832;999,5;1000,5;1000,3;10,18;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;999,5;999,5;179;997,5;17.03.2017
МЕТАЛИНВ 6;7705392230;4-06-25642-H;09.02.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS5L4;RU000A0JS5L4;1000;RUR;10.03.2022;0;28.02.2013;10.03.2022;12.04.2012;0;0;760,3;0;0,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;760,3;0;601;
ВымпелКом2;7713076301;4-02-00027-A;23.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS5M2;RU000A0JS5M2;1000;RUR;14.03.2022;0;02.10.2012;14.03.2022;24.04.2012;0;0;1005;0;46,58;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1005;0;998;23.03.2017
МСП Банк 1;7703213534;40103340B;28.11.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS5R1;RU000A0JS5R1;1000;RUR;17.03.2022;0;13.08.2012;17.03.2022;06.04.2012;0;0;1024,4;0;64,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1024,4;0;974,5;27.03.2017
АИЖК 22об;7729355614;4-22-00739-A;28.04.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS5S9;RU000A0JS5S9;850;RUR;15.07.2024;0;28.04.2012;15.07.2024;12.04.2012;0;0;0;0;13,87;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;12750000000;0;0;0;0;18.10.2016
МСП Банк 2;7703213534;40203340B;28.11.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS603;RU000A0JS603;1000;RUR;11.08.2022;0;07.06.2013;11.08.2022;31.08.2012;0;0;995;0;5,34;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;995;0;600,3;22.08.2016
ДельтКрБО5;7705285534;4B020503338B;29.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS6M0;RU000A0JS6M0;1000;RUR;21.10.2023;0;22.10.2013;21.10.2023;21.10.2013;995,1;0;995;4975500000;31,99;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;995;44;981,5999999999999;25.10.2016
РСХБ 16;7725114488;41603349B;08.02.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS6N8;RU000A0JS6N8;1000;RUR;04.04.2022;0;28.02.2013;04.04.2022;28.04.2012;1021;1021;1020;10210000000;45,92;49982019,2;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1020;524;1007,0999999999999;11.04.2018
iРОСНАНО 4;7728131587;4-04-55477-E;27.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS6S7;RU000A0JS6S7;1000;RUR;10.04.2019;0;12.04.2013;10.04.2019;;955,1999999999999;0;950;9552000000;42,69;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;950;897;945,9000000000001;
iРОСНАНО 5;7728131587;4-05-55477-E;27.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS6T5;RU000A0JS6T5;1000;RUR;10.04.2019;0;12.04.2013;10.04.2019;;959,8000000000001;0;952;9598000000;42,69;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;952;897;950;
НефтАль 01;7744002275;40102859B;12.01.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS6Z2;RU000A0JS6Z2;1000;RUR;27.04.2022;0;29.05.2012;27.04.2022;15.05.2012;0;0;1000;0;41,59;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;250000;250000;250000000;0;1000;0;0;
СвязьБанк5;7710301140;40501470B;05.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS710;RU000A0JS710;1000;RUR;07.04.2022;0;12.07.2012;07.04.2022;09.07.2012;0;0;1000,1;0;47,6;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000,1;0;974,5;
СвязьБанк4;7710301140;40401470B;05.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS793;RU000A0JS793;1000;RUR;13.04.2022;0;09.11.2012;13.04.2022;30.05.2012;1000,1999999999999;0;1005,9000000000001;5001000000;46,03;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1005,9000000000001;214;981;21.04.2017
ФСК ЕЭС-12;4716016979;4-12-65018-D;07.06.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS7H8;RU000A0JS7H8;1000;RUR;19.04.2019;0;28.05.2012;19.04.2019;21.05.2012;0;0;975,3;0;30,62;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;975,3;0;891;
ДомДеньги1;7714699186;4-01-36412-R;12.04.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS7J4;RU000A0JS7J4;2000000;RUR;27.04.2017;0;28.02.2013;27.04.2017;14.06.2012;1981000;0;1983800;990500000;165901,64;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;500;500;1000000000;0;1983800;212;0;
ВолгогОб11;3444130624;RU35002VLO0;20.04.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS7P1;RU000A0JS7P1;200;RUR;28.05.2017;0;26.11.2012;;;198,26;0;198,98;991300000;1,75;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;1000000000;0;198,98;153;197,8;
Якут-11 об;1435027673;RU35004RSY0;02.05.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS850;RU000A0JS850;300;RUR;17.05.2017;0;02.10.2012;;;295,5;0;299,70000000000004;738750000;1,88;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2500000;2500000;750000000;0;299,70000000000004;246;294,75;
СМП 01;7750005482;40103368B;05.08.2011;об;ОАО Московская Биржа;7703507076;RU000A0JS8M6;RU000A0JS8M6;1000;RUR;23.05.2017;0;14.06.2012;23.05.2017;09.06.2012;0;0;999,9;0;26,14;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;999,9;0;980,6999999999999;25.11.2016
ФинСтанд01;7718876189;4-01-36413-R;15.05.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS8R5;RU000A0JS8R5;1000;RUR;22.05.2020;0;19.08.2013;22.05.2020;14.06.2012;1000;0;1000;359658000;1555,29;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;360000;359658;360000000;0;1000;1333;0;11.06.2017
ЛипецкОбл7;4825006353;RU34007LIP0;23.04.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS8T1;RU000A0JS8T1;200;RUR;26.05.2017;0;09.11.2012;;01.06.2012;199,06;0;199;497650000;5,08;0;199;199;199;9,94;07.09.2016;08.09.2016;EQOB;2500000;1110000;500000000;199;199;253;198,6;
ЕАБР05;9909220306;;21.08.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS8X3;RU000A0JS8X3;1000;RUR;15.07.2020;0;06.08.2013;15.07.2020;;0;0;1031,7;0;12,75;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1031,7;0;620,7;22.07.2019
ЕАБР06;9909220306;;21.08.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS8Y1;RU000A0JS8Y1;1000;RUR;23.09.2020;0;04.10.2013;23.09.2020;02.10.2013;995,1;0;999;4975500000;34,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;999;21;896,1;03.10.2016
ЕАБР07;9909220306;;21.08.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS8Z8;RU000A0JS8Z8;1000;RUR;23.09.2020;0;04.10.2013;23.09.2020;02.10.2013;991,5;0;994,5;4957500000;34,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;994,5;21;896,7;03.10.2016
ЕАБР08;9909220306;;21.08.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS900;RU000A0JS900;1000;RUR;07.10.2020;0;21.10.2013;07.10.2020;17.10.2013;0;0;995,4000000000001;0;32,22;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;995,4000000000001;0;962,5;17.10.2016
ЕАБР09;9909220306;;21.08.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS918;RU000A0JS918;1000;RUR;24.05.2021;0;10.06.2014;24.05.2021;06.06.2014;999,2;0;1001,5;4996000000;26,71;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1001,5;421;974,0999999999999;30.11.2017
ЕАБР10;9909220306;;21.08.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS926;RU000A0JS926;1000;RUR;10.01.2023;0;12.02.2016;10.01.2023;19.01.2016;0;0;0;0;16,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;0;0;0;
СамарОбл 8;6315802231;RU35008SAM0;05.05.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS9J0;RU000A0JS9J0;100;RUR;13.12.2017;0;21.11.2012;;20.06.2012;99,28;0;99,7;1489200000;2,07;0;99,7;99,7;99,7;9,56;07.09.2016;08.09.2016;EQOB;15000000;15000000;1500000000;99,7;99,7;433;99,3;
ИК МБС 01;7701733190;4-01-00179-R;23.05.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS9U7;RU000A0JS9U7;1000;RUR;21.06.2017;0;03.10.2012;21.06.2017;25.09.2012;0;0;1000;0;27,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;115000;115000;115000000;0;1000;0;600,3;22.06.2013
УпрОтходНН;5260278039;4-01-20453-P;20.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JS9X1;RU000A0JS9X1;1000;RUR;15.06.2022;0;06.07.2012;15.06.2022;03.07.2012;0;0;994;0;21,73;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1150000;1150000;1150000000;0;994;0;601;
ВЭБЛизUSD1;7709413138;4-10-43801-H;14.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSAV3;RU000A0JSAV3;1000;USD;30.06.2017;0;28.08.2012;30.06.2017;;0;0;1000;0;10,25;0;0;0;0;0;07.09.2016;08.09.2016;TQOD;100000;100000;100000000;0;1000;0;0;
ВЭБЛизUSD2;7709413138;4-11-43801-H;14.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSAZ4;RU000A0JSAZ4;1000;USD;30.06.2017;0;28.08.2012;30.06.2017;;0;0;1000;0;10,25;0;0;0;0;0;07.09.2016;08.09.2016;TQOD;100000;100000;100000000;0;1000;0;0;
ВЭБЛизUSD3;7709413138;4-12-43801-H;14.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSB06;RU000A0JSB06;1000;USD;30.06.2017;0;28.08.2012;30.06.2017;;0;0;1000;0;10,25;0;0;0;0;0;07.09.2016;08.09.2016;TQOD;100000;100000;100000000;0;1000;0;0;
ВЭБЛизUSD4;7709413138;4-13-43801-H;14.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSB14;RU000A0JSB14;1000;USD;30.06.2017;0;28.08.2012;30.06.2017;;0;0;1000;0;10,25;0;0;0;0;0;07.09.2016;08.09.2016;TQOD;100000;100000;100000000;0;1000;0;0;
ИАУралс1 А;7743833502;4-01-77771-H;26.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSF02;RU000A0JSF02;162,65;RUR;15.04.2045;0;06.09.2012;15.04.2045;14.08.2012;0;0;159,315675;0;2,11;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;4300000;4300000;699395000;0;159,315675;0;95,719525;15.01.2020
РЖД-32 обл;7708503727;4-32-65045-D;03.05.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSGV0;RU000A0JSGV0;1000;RUR;25.06.2032;0;09.11.2012;25.06.2032;23.07.2012;970,1;970,1;970,9000000000001;9701000000;13,91;7016628,4;970;971,2;970,1;19,31;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;970,9000000000001;970,9000000000001;128;970;08.07.2022
РТК 02;7710578825;4-02-55811-H;28.12.2011;об;ОАО Московская Биржа;7703507076;RU000A0JSJZ5;RU000A0JSJZ5;1000;RUR;08.07.2027;0;28.08.2012;08.07.2027;16.08.2012;0;0;838;0;329,64;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;20000000;20000000;20000000000;0;838;0;0;26.07.2017
АИЖК-12 А2;7743835669;4-02-77799-H;28.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSKJ7;RU000A0JSKJ7;655,57;RUR;22.01.2044;0;31.08.2012;22.01.2044;16.08.2012;0;0;0;0;7,6;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5932000;5932000;3888841240,0000005;0;0;0;0;
АгроКомп01;7705800231;4-01-00173-R;06.04.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSL87;RU000A0JSL87;1000;RUR;29.07.2019;0;16.11.2012;29.07.2019;01.08.2012;792,2;0;590;237660000;0,11;0;0;0;0;0;07.09.2016;08.09.2016;EQDB;300000;300000;300000000;0;590;325;295;04.08.2017
МежФинКор1;9909079501;;01.11.2012;об;ОАО Московская Биржа;7703507076;RU000A0JSLP2;RU000A0JSLP2;10000000;RUR;26.11.2017;0;29.11.2012;26.11.2017;28.11.2012;0;0;0;0;234246,58;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;500;500;5000000000;0;0;0;0;
